Student ID,student_name,gender,grade,school_name,reading_score,math_score
151,Rebecca Burgess,F,11th,Stewart High School,91,91
152,Margaret Mcbride,F,12th,Stewart High School,93,88
153,Juan Sullivan,M,11th,Stewart High School,93,88
154,Lauren Jacobson,F,12th,Stewart High School,91,84
155,Mark Bryan,M,9th,Stewart High School,98,87
156,Michael Zhang,M,11th,Stewart High School,95,78
157,Darlene Robertson,F,11th,Stewart High School,95,98
158,James Carlson,M,12th,Stewart High School,93,85
159,Rhonda Perry,F,11th,Stewart High School,92,99
160,Joanna Reed,F,10th,Stewart High School,95,71
161,Thomas Williams,M,10th,Stewart High School,91,91
162,Donald Rodriguez,M,9th,Stewart High School,96,85
163,Jeremy Griffin,M,9th,Stewart High School,92,72
164,Kathleen Miller,F,12th,Stewart High School,99,70
165,William Walker,M,10th,Stewart High School,99,71
166,Brent Hernandez,M,12th,Stewart High School,93,81
167,Jake Chen,M,12th,Stewart High School,90,90
168,Miss Amy Willis,F,10th,Stewart High School,95,80
169,Tammy Garza,F,9th,Stewart High School,97,93
170,Michael Rodriguez,M,10th,Stewart High School,92,81
171,Carlos Stephenson,M,12th,Stewart High School,89,81
172,Judith Navarro,F,12th,Stewart High School,94,73
173,Seth Miller,M,10th,Stewart High School,97,73
174,Anthony Ramirez,M,9th,Stewart High School,99,95
175,April Spencer,F,11th,Stewart High School,90,93
176,Mario Gilbert,M,10th,Stewart High School,97,96
177,Paula Jones,F,11th,Stewart High School,97,94
178,Amy Crawford,F,11th,Stewart High School,95,73
179,Kevin King,M,9th,Stewart High School,89,80
180,Scott Osborne,M,9th,Stewart High School,92,89
181,Alison Carr,F,10th,Stewart High School,95,78
182,Patrick Lin,M,10th,Stewart High School,89,98
183,Nicholas Kelly,M,12th,Stewart High School,92,77
184,Mindy Daniels,F,12th,Stewart High School,91,70
185,Michelle Hall,F,10th,Stewart High School,91,72
186,Samantha Garner,F,9th,Stewart High School,90,89
187,Miss Kelly King,F,9th,Stewart High School,93,70
188,Logan Kennedy,M,10th,Stewart High School,96,82
189,Dr. Linda Schmidt,F,9th,Stewart High School,96,93
190,Angela Pena,F,10th,Stewart High School,98,95
191,Tasha Sanchez,F,12th,Stewart High School,97,90
192,Elijah Jackson,M,9th,Stewart High School,99,95
193,Steven Rose,M,9th,Stewart High School,95,90
194,Alyssa Mendoza DDS,F,10th,Stewart High School,91,92
195,Karen Preston,F,9th,Stewart High School,99,84
196,John Harris,M,10th,Stewart High School,96,96
197,Gary Calderon,M,12th,Stewart High School,91,97
198,Adam Lewis,M,12th,Stewart High School,96,89
199,Nicole Hogan,F,10th,Stewart High School,96,70
200,Robert Fisher,M,10th,Stewart High School,95,99
201,Thomas Jones,M,11th,Stewart High School,91,92
202,Jeremy Edwards,M,12th,Stewart High School,92,94
203,Heather French,F,9th,Stewart High School,98,86
204,Stacey Ortiz,F,12th,Stewart High School,99,81
205,Jeffrey Sandoval,M,10th,Stewart High School,95,72
206,Bradley Murphy,M,11th,Stewart High School,97,89
207,Regina Aguilar,F,11th,Stewart High School,95,73
208,Tonya Cortez,F,9th,Stewart High School,96,93
209,John Russell,M,12th,Stewart High School,89,72
210,Tammy Brown,F,11th,Stewart High School,92,86
211,Kelly Webb,F,12th,Stewart High School,92,83
212,Laura Rodriguez,F,10th,Stewart High School,91,78
213,Anna Smith,F,9th,Stewart High School,95,81
214,Tammy Archer,F,11th,Stewart High School,89,81
215,Andrew Phillips,M,11th,Stewart High School,90,71
216,John Bauer,M,9th,Stewart High School,99,81
217,Robert Campbell,M,11th,Stewart High School,97,79
218,Jared Grant,M,10th,Stewart High School,92,86
219,Dwayne Meyer,M,10th,Stewart High School,94,94
220,Shannon York DVM,F,11th,Stewart High School,90,89
221,Renee Hughes,F,12th,Stewart High School,97,99
222,Deborah Adams,F,10th,Stewart High School,91,88
223,Sean Williams,M,11th,Stewart High School,92,78
224,William Fisher,M,10th,Stewart High School,95,90
225,Meredith Miller,F,9th,Stewart High School,99,93
226,Kurt Martinez,M,9th,Stewart High School,96,94
227,David Waller,M,9th,Stewart High School,99,69
228,Cheryl Gutierrez,F,9th,Stewart High School,95,75
229,Robert Brown,M,9th,Stewart High School,99,77
230,Marie Bartlett,F,10th,Stewart High School,89,83
231,Molly Rodriguez,F,12th,Stewart High School,92,99
232,Mark Rangel,M,10th,Stewart High School,89,97
233,Patrick Sullivan,M,10th,Stewart High School,90,90
234,Danielle Cooke,F,12th,Stewart High School,92,92
235,Bobby Martinez,M,11th,Stewart High School,98,75
236,Alan Howell,M,12th,Stewart High School,93,77
237,Dominic Kerr,M,9th,Stewart High School,95,72
238,John Haynes,M,12th,Stewart High School,96,98
239,Jeremy Bailey,M,10th,Stewart High School,96,75
240,Tammy Wyatt,F,11th,Stewart High School,90,81
241,William Rodgers,M,12th,Stewart High School,92,74
242,Cynthia Ramirez,F,9th,Stewart High School,94,84
243,Terry Allen,F,11th,Stewart High School,97,91
244,Jose Williams,M,9th,Stewart High School,92,91
245,Michelle Ellis,F,12th,Stewart High School,97,92
246,Lori Jackson DDS,F,11th,Stewart High School,91,97
247,Keith Rodriguez PhD,M,11th,Stewart High School,93,70
248,Laura Duarte,F,10th,Stewart High School,97,76
249,Mr. Brian Dunn DDS,M,11th,Stewart High School,93,72
250,Carol Ward,F,10th,Stewart High School,95,88
251,Peter Barrett,M,12th,Stewart High School,96,87
252,James Miller,M,11th,Stewart High School,99,90
253,Jacob Anderson,M,12th,Stewart High School,93,69
254,Megan Anderson,F,9th,Stewart High School,96,81
255,Timothy Young,M,12th,Stewart High School,95,72
256,Melissa Howe,F,12th,Stewart High School,92,98
257,Cheryl Shaw,F,10th,Stewart High School,91,81
258,Ashley Perry,F,11th,Stewart High School,98,94
259,Robert Cruz DDS,M,12th,Stewart High School,91,70
260,Michael Livingston,M,9th,Stewart High School,99,82
261,Sheila Johnston,F,12th,Stewart High School,99,98
262,Thomas Bauer,M,11th,Stewart High School,90,88
263,Luis Ochoa,M,10th,Stewart High School,97,73
264,Michael Irwin,M,9th,Stewart High School,96,74
265,Kelly Wilcox,F,12th,Stewart High School,98,92
266,Sarah King,F,9th,Stewart High School,93,77
267,Bradley Diaz,M,10th,Stewart High School,97,88
268,Tracey Ramirez,F,11th,Stewart High School,98,92
269,Connor Price,M,9th,Stewart High School,91,71
270,Kenneth Stevenson,M,10th,Stewart High School,91,91
271,Daniel Small,M,10th,Stewart High School,93,88
272,Kathleen Lawson,F,12th,Stewart High School,92,74
273,Mario Daugherty,M,11th,Stewart High School,96,92
274,Martin Meadows,M,11th,Stewart High School,98,80
275,Elizabeth Horn,F,12th,Stewart High School,93,87
276,Sarah Mcdaniel,F,11th,Stewart High School,91,83
277,Shannon Bryant,F,12th,Stewart High School,91,93
278,Courtney Avila,F,10th,Stewart High School,92,76
279,Kelly Murray,M,10th,Stewart High School,93,99
280,Julian Scott,M,9th,Stewart High School,96,77
281,Courtney Mckay,F,11th,Stewart High School,95,77
282,Jaime Singh,M,10th,Stewart High School,91,89
283,Sarah Simpson,F,11th,Stewart High School,92,76
284,Jennifer Dean,F,12th,Stewart High School,89,71
285,Johnathan Jimenez,M,10th,Stewart High School,91,87
286,Rebecca Powell,F,12th,Stewart High School,92,72
287,Megan Olson,F,9th,Stewart High School,90,81
288,Sherry Butler,F,12th,Stewart High School,89,90
289,Daniel Hansen,M,10th,Stewart High School,91,95
290,Megan Gibson,F,11th,Stewart High School,95,86
291,Joshua Jones,M,12th,Stewart High School,96,97
292,Krystal Nolan,F,9th,Stewart High School,91,90
293,Judy Ramsey,F,10th,Stewart High School,98,96
294,Matthew Smith,M,9th,Stewart High School,92,91
295,Maureen Spencer,F,10th,Stewart High School,99,96
296,Gregory Guzman,M,9th,Stewart High School,95,68
297,Kathleen Meza,F,12th,Stewart High School,92,84
298,Michael Mcdowell,M,10th,Stewart High School,93,90
299,Fred Stephenson,M,11th,Stewart High School,91,97
300,Jason Murphy,M,9th,Stewart High School,92,87
301,Carol Cunningham,F,11th,Stewart High School,93,89
302,Julia Nixon,F,10th,Stewart High School,99,92
303,Jamie Walsh,F,12th,Stewart High School,96,70
304,Mary Noble,F,10th,Stewart High School,93,91
305,Marvin Wade,M,9th,Stewart High School,97,68
306,Mark Wilson,M,12th,Stewart High School,91,92
307,Sean Gilmore,M,11th,Stewart High School,92,80
308,Riley Brooks,M,12th,Stewart High School,97,83
309,Gavin Good,M,10th,Stewart High School,92,86
310,Vanessa Jackson,F,9th,Stewart High School,92,99
311,Charles Nguyen,M,11th,Stewart High School,90,85
312,Michael Alvarez,M,11th,Stewart High School,97,77
313,Mary Maldonado,F,11th,Stewart High School,95,79
314,Brittany George,F,10th,Stewart High School,92,75
315,Jeffrey Steele,M,12th,Stewart High School,94,92
316,Matthew Mcbride Jr.,M,11th,Stewart High School,95,81
317,Matthew West,M,10th,Stewart High School,91,96
318,Jamie Garrison,F,11th,Stewart High School,93,94
319,Melissa Butler,F,12th,Stewart High School,96,87
320,Melissa Holmes,F,9th,Stewart High School,96,93
321,Jonathan Jefferson,M,9th,Stewart High School,95,87
322,Dr. Ray Armstrong MD,M,12th,Stewart High School,93,90
323,Jessica Griffin,F,11th,Stewart High School,97,86
324,Kaitlin Robinson,F,9th,Stewart High School,98,84
325,Catherine Graves,F,10th,Stewart High School,93,96
326,James Shannon,M,12th,Stewart High School,93,72
327,Selena Cherry,F,12th,Stewart High School,97,99
328,Glen Farley,M,12th,Stewart High School,97,78
329,Linda Robinson,F,10th,Stewart High School,98,77
330,David Ramirez,M,12th,Stewart High School,90,93
331,Phillip Thompson,M,12th,Stewart High School,96,81
332,Joseph Henderson,M,9th,Stewart High School,90,72
333,Michelle Gutierrez,F,9th,Stewart High School,90,70
334,Melissa Pierce,F,10th,Stewart High School,96,79
335,Valerie Davis,F,9th,Stewart High School,99,70
336,Jose Avila,M,10th,Stewart High School,89,77
337,Sylvia Boone,F,9th,Stewart High School,91,74
338,Rebecca Hartman,F,10th,Stewart High School,93,86
339,Samantha Rice,F,11th,Stewart High School,99,76
340,Brandon Lowe,M,12th,Stewart High School,97,85
341,Anthony Hawkins,M,12th,Stewart High School,97,77
342,Michelle Duran,F,10th,Stewart High School,93,86
343,Ronald Mercer,M,12th,Stewart High School,99,93
344,Christina Ortiz,F,9th,Stewart High School,89,91
345,Johnny Brown,M,12th,Stewart High School,97,89
346,Michele Tran,F,9th,Stewart High School,97,76
347,Ms. Ashley Jarvis,F,12th,Stewart High School,91,90
348,Colleen Rivera,F,9th,Stewart High School,89,84
349,Tracy Francis,F,9th,Stewart High School,95,68
350,Joe Baker,M,11th,Stewart High School,92,89
351,Jessica Berry,F,9th,Stewart High School,89,95
352,William Lawrence,M,9th,Stewart High School,89,71
353,Alicia Kim,F,11th,Stewart High School,95,96
354,Paul Smith,M,10th,Stewart High School,92,91
355,Jessica Ross,F,12th,Stewart High School,98,97
356,Lauren Hall,F,10th,Stewart High School,96,69
357,Heather Acosta,F,12th,Stewart High School,90,84
358,Jessica Wong,F,12th,Stewart High School,95,90
359,Paula Stout,F,12th,Stewart High School,95,95
360,Robert Harvey,M,12th,Stewart High School,97,98
361,Jesse Medina,M,10th,Stewart High School,91,99
362,Steven Walter,M,10th,Stewart High School,97,71
363,Joann Foster,F,10th,Stewart High School,90,98
364,Mary Hall,F,9th,Stewart High School,96,92
365,Jordan Johnston,M,9th,Stewart High School,99,91
366,Charlene Ramirez,F,9th,Stewart High School,98,82
367,Neil Cross,M,11th,Stewart High School,92,90
368,Kristina Anderson,F,11th,Stewart High School,99,81
369,Patrick Perry,M,12th,Stewart High School,89,93
370,Phillip Brennan,M,12th,Stewart High School,93,84
371,Cynthia Wolf,F,9th,Stewart High School,90,90
372,Lisa Drake,F,11th,Stewart High School,90,86
373,Abigail Morgan,F,9th,Stewart High School,96,79
374,Isaac Hale,M,9th,Stewart High School,94,93
375,Jeffrey Miles,M,9th,Stewart High School,97,92
376,Dylan Pearson,M,9th,Stewart High School,95,86
377,Nicholas Harrison,M,10th,Stewart High School,92,77
378,Brandon Jones,M,9th,Stewart High School,95,72
379,Robert Moran,M,9th,Stewart High School,92,97
380,Nicole Johnson,F,12th,Stewart High School,97,77
381,Cindy Rodriguez,F,12th,Stewart High School,92,79
382,Ana Peters,F,10th,Stewart High School,93,68
383,Cassidy Riddle,F,10th,Stewart High School,92,80
384,Christopher Noble,M,9th,Stewart High School,92,74
385,Terry Gomez,M,11th,Stewart High School,97,75
386,Brandon Townsend,M,11th,Stewart High School,90,86
387,Ashley Payne,F,9th,Stewart High School,96,88
388,Jennifer Perkins,F,11th,Stewart High School,89,74
389,Vincent Miller,M,10th,Stewart High School,91,92
390,Margaret Brown,F,10th,Stewart High School,90,98
391,Debra Morgan,F,9th,Stewart High School,97,77
392,Tyrone Barr MD,M,10th,Stewart High School,96,79
393,Gina Thomas,F,12th,Stewart High School,92,91
394,Dean Hopkins,M,10th,Stewart High School,96,84
395,Aaron Tyler,M,12th,Stewart High School,95,85
396,Joy Ramos,F,12th,Stewart High School,93,83
397,Caroline Robertson,F,11th,Stewart High School,94,82
398,Karen Rhodes,F,9th,Stewart High School,91,98
399,Tina Knight,F,12th,Stewart High School,95,93
400,Lisa Cox,F,9th,Stewart High School,89,91
401,Austin Walker,M,11th,Stewart High School,91,77
402,Michael Meyers,M,9th,Stewart High School,93,94
403,Mary Levine,F,12th,Stewart High School,90,95
404,John Mcdonald,M,9th,Stewart High School,91,90
405,Wayne Reid,M,9th,Stewart High School,95,94
406,Trevor Fitzpatrick,M,11th,Stewart High School,96,81
407,Ryan Parker,M,10th,Stewart High School,93,88
408,Jesus Pittman DDS,M,9th,Stewart High School,97,90
409,Daniel Green,M,12th,Stewart High School,96,76
410,Michael Bradley,M,10th,Stewart High School,91,70
411,Jessica Daugherty,F,9th,Stewart High School,94,75
412,Mr. Arthur Kennedy,M,10th,Stewart High School,92,78
413,Jose Campbell,M,10th,Stewart High School,97,82
414,Joseph King,M,12th,Stewart High School,89,90
415,Elizabeth Lamb,F,11th,Stewart High School,98,68
416,Andrew Romero,M,10th,Stewart High School,98,79
417,William Castro,M,10th,Stewart High School,94,87
418,Stephanie Hernandez,F,12th,Stewart High School,96,98
419,Sara Williams,F,9th,Stewart High School,89,93
420,Alejandra Williams,F,10th,Stewart High School,95,74
421,Lawrence Monroe,M,12th,Stewart High School,94,81
422,Daniel Bowers,M,9th,Stewart High School,90,91
423,Michael Butler,M,11th,Stewart High School,95,82
424,Spencer Silva,M,11th,Stewart High School,95,95
425,Lee Tucker,M,11th,Stewart High School,99,81
426,Matthew Morgan,M,11th,Stewart High School,96,83
427,Alicia Stuart,F,10th,Stewart High School,91,92
428,Charles Clark,M,9th,Stewart High School,89,97
429,Jessica Nelson,F,10th,Stewart High School,90,90
430,Dalton Figueroa,M,10th,Stewart High School,97,72
431,Nicholas Brown,M,9th,Stewart High School,93,74
432,Christopher Moore,M,11th,Stewart High School,92,78
433,Micheal Shelton,M,9th,Stewart High School,98,71
434,Ashley Baldwin,F,12th,Stewart High School,91,68
435,Mr. Juan Oneill DVM,M,10th,Stewart High School,95,86
436,Brian Taylor,M,9th,Stewart High School,89,77
437,Emily Clarke,F,12th,Stewart High School,92,91
438,Kristin Peters,F,11th,Stewart High School,96,98
439,Jennifer Hunter,F,9th,Stewart High School,98,97
440,Amanda Austin,F,9th,Stewart High School,97,95
441,Jennifer Edwards,F,11th,Stewart High School,99,90
442,Michael Duncan,M,11th,Stewart High School,89,72
443,Gregory Ward,M,10th,Stewart High School,98,71
444,Rebekah Burton,F,9th,Stewart High School,97,98
445,Glenn Lynch,M,10th,Stewart High School,98,76
446,Amanda Miller,F,9th,Stewart High School,93,91
447,Dawn Haley,F,12th,Stewart High School,91,92
448,George Morse,M,12th,Stewart High School,90,81
449,Jennifer Lopez,F,11th,Stewart High School,96,81
450,Anthony Walton,M,12th,Stewart High School,89,74
451,Barbara Hodges,F,12th,Stewart High School,92,83
452,Anita Taylor MD,F,10th,Stewart High School,96,82
453,Virginia Zavala,F,9th,Stewart High School,97,86
454,Anthony Simpson,M,11th,Stewart High School,91,87
455,Sherry Cain,F,11th,Stewart High School,98,98
456,Steve Marshall,M,12th,Stewart High School,95,80
457,Steven Duran,M,9th,Stewart High School,99,82
458,Michael Maxwell,M,10th,Stewart High School,90,86
459,Andrea Estes,F,10th,Stewart High School,98,69
460,Danielle Mcgee,F,9th,Stewart High School,91,87
461,Danny Hess,M,12th,Stewart High School,93,82
462,Jack White,M,11th,Stewart High School,99,98
463,Mary Sims,F,9th,Stewart High School,97,82
464,Larry Hancock,M,12th,Stewart High School,95,84
465,Sarah James,F,12th,Stewart High School,91,74
466,Benjamin Zhang,M,11th,Stewart High School,90,74
467,Kelly Gilbert,F,11th,Stewart High School,91,89
468,Lauren Smith,F,11th,Stewart High School,96,93
469,Maria Fisher,F,10th,Stewart High School,93,94
470,Elizabeth Daniels,F,11th,Stewart High School,94,98
471,Amber Gates,F,12th,Stewart High School,93,76
472,Tristan Scott,M,9th,Stewart High School,96,97
473,Chelsea Hampton,F,9th,Stewart High School,89,69
474,Sabrina Ryan,F,10th,Stewart High School,93,93
475,John Bailey,M,10th,Stewart High School,96,85
476,Kristina Mercado,F,10th,Stewart High School,99,92
477,Tammy Stone,F,9th,Stewart High School,91,83
478,Eugene Smith,M,9th,Stewart High School,95,98
479,Daniel Tapia,M,11th,Stewart High School,92,83
480,Katherine Hughes,F,11th,Stewart High School,89,80
481,Jonathan Taylor,M,10th,Stewart High School,95,84
482,Kenneth Arellano,M,11th,Stewart High School,95,84
483,James Morales,M,9th,Stewart High School,98,87
484,Margaret Jimenez,F,11th,Stewart High School,93,68
485,Brenda Swanson,F,9th,Stewart High School,98,88
486,Scott Roth,M,9th,Stewart High School,98,83
487,Cynthia Vazquez,F,12th,Stewart High School,99,90
488,Brandon Bennett,M,12th,Stewart High School,97,79
489,Robert Gibson,M,12th,Stewart High School,97,98
490,Kerry Powell,M,12th,Stewart High School,90,98
491,Ryan Wilkins,M,12th,Stewart High School,89,83
492,Tammy Berg,F,12th,Stewart High School,94,81
493,Kelly Wilson,F,10th,Stewart High School,99,87
494,Laura Collins,F,10th,Stewart High School,89,93
495,Dennis Singh,M,11th,Stewart High School,95,96
496,Michael Wright,M,10th,Stewart High School,95,90
497,Allison Fuller,F,11th,Stewart High School,97,72
498,Patrick Harris,M,12th,Stewart High School,92,68
499,William Garza,M,12th,Stewart High School,98,94
500,Mark Camacho,M,12th,Stewart High School,91,90
501,Matthew Love,M,12th,Stewart High School,96,95
502,Maria Carter,F,12th,Stewart High School,98,85
503,William Carey,M,11th,Stewart High School,93,81
504,Luke Lopez,M,10th,Stewart High School,98,83
505,Amy Gray,F,12th,Stewart High School,99,91
506,Kristin Gordon,F,9th,Stewart High School,98,90
507,Robert Jordan,M,9th,Stewart High School,99,94
508,Jasmine Patel,F,9th,Stewart High School,93,69
509,Jennifer Lewis,F,9th,Stewart High School,95,89
510,Troy Carter,M,12th,Stewart High School,94,93
511,Jessica Oneal,F,11th,Stewart High School,98,84
512,Elizabeth Nguyen,F,10th,Stewart High School,97,90
513,Michael Weaver,M,9th,Stewart High School,99,80
514,Jessica Santiago,F,10th,Stewart High School,93,72
515,Lauren Kim,F,10th,Stewart High School,99,90
516,Pamela Green,F,10th,Stewart High School,91,98
517,Tracy Wilson,F,12th,Stewart High School,95,70
518,Daniel White,M,12th,Stewart High School,89,68
519,Austin Henderson,M,12th,Stewart High School,94,87
520,Shannon Sanchez,F,10th,Stewart High School,99,83
521,Diane Murphy,F,9th,Stewart High School,97,69
522,Susan Wall,F,11th,Stewart High School,93,91
523,Brittany Brown,F,9th,Stewart High School,97,89
524,Rebecca Sweeney,F,12th,Stewart High School,95,82
